Usia,IPK,SKD,Wawancara,Mengajar,Lulus,Lokasi,Lektor
30,3.81,29.236,9.6,10.4,1,5589. UNIVERSITAS SULAWESI BARAT FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
29,3.68,29.382,10.4,10.8,1,5589. UNIVERSITAS SULAWESI BARAT FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
29,3.89,27.054,18.4,19.2,0,5589. UNIVERSITAS SULAWESI BARAT FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
26,3.65,27.054,16.8,16.0,0,5589. UNIVERSITAS SULAWESI BARAT FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
28,3.9,30.982,9.6,10.4,0,5589. UNIVERSITAS SULAWESI BARAT FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
25,3.79,27.127,9.2,9.2,0,5589. UNIVERSITAS SULAWESI BARAT FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
26,3.83,24.873,16.8,16.8,1,5589. UNIVERSITAS SULAWESI BARAT FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
27,3.95,26.546,10.4,11.2,0,5589. UNIVERSITAS SULAWESI BARAT FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
31,3.51,32.291,20.0,18.0,1,"3474. UNIVERSITAS KHAIRUN FAKULTAS TEKNIK 5
",tidak
29,3.85,25.818,20.0,16.8,1,"3474. UNIVERSITAS KHAIRUN FAKULTAS TEKNIK 5
",tidak
30,3.33,25.309,15.2,16.0,0,"3474. UNIVERSITAS KHAIRUN FAKULTAS TEKNIK 5
",tidak
27,3.91,23.782,16.8,15.6,0,"3474. UNIVERSITAS KHAIRUN FAKULTAS TEKNIK 5
",tidak
29,3.78,29.236,18.4,13.6,1,3923. UNIVERSITAS MULAWARMAN FAKULTAS KEDOKTERAN ,tidak
32,3.7,27.782,17.6,15.6,1,3923. UNIVERSITAS MULAWARMAN FAKULTAS KEDOKTERAN ,tidak
31,3.97,29.818,17.2,13.2,1,2015. POLITEKNIK NEGERI BANYUWANGI JURUSAN TEKNIK INFORMATIKA ,tidak
29,3.55,29.164,16.8,19.2,1,2015. POLITEKNIK NEGERI BANYUWANGI JURUSAN TEKNIK INFORMATIKA ,tidak
29,3.62,30.836,14.0,11.2,0,2015. POLITEKNIK NEGERI BANYUWANGI JURUSAN TEKNIK INFORMATIKA ,tidak
30,3.43,26.691,13.6,10.0,0,2015. POLITEKNIK NEGERI BANYUWANGI JURUSAN TEKNIK INFORMATIKA ,tidak
27,3.7,28.073,16.8,18.8,0,2015. POLITEKNIK NEGERI BANYUWANGI JURUSAN TEKNIK INFORMATIKA ,tidak
31,3.89,31.564,16.8,14.0,1,2015. POLITEKNIK NEGERI BANYUWANGI JURUSAN TEKNIK INFORMATIKA ,tidak
34,3.81,29.746,17.2,18.8,0,2015. POLITEKNIK NEGERI BANYUWANGI JURUSAN TEKNIK INFORMATIKA ,tidak
29,3.78,28.364,17.6,11.6,0,2015. POLITEKNIK NEGERI BANYUWANGI JURUSAN TEKNIK INFORMATIKA ,tidak
30,3.31,31.927,20.0,18.8,1,"6046. UNIVERSITAS TIMOR FAKULTAS ILMU PENDIDIKAN 1
",tidak
27,3.42,29.891,18.0,15.2,0,"6046. UNIVERSITAS TIMOR FAKULTAS ILMU PENDIDIKAN 1
",tidak
27,3.8,28.436,12.4,15.6,0,"6046. UNIVERSITAS TIMOR FAKULTAS ILMU PENDIDIKAN 1
",tidak
34,3.41,30.036,15.6,16.0,1,2676. POLITEKNIK NEGERI UJUNG PANDANG JURUSAN TEKNIK ELEKTRO ,tidak
29,3.0,30.182,19.6,20.0,1,2797. POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH JURUSAN TEKNOLOGI PERTANIAN ,tidak
31,3.53,29.891,16.4,14.8,0,2797. POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH JURUSAN TEKNOLOGI PERTANIAN ,tidak
31,3.63,30.4,14.4,12.8,0,2797. POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH JURUSAN TEKNOLOGI PERTANIAN ,tidak
28,3.73,31.927,17.6,16.8,1,4628. UNIVERSITAS NEGERI SURABAYA FAKULTAS BAHASA DAN SENI ,tidak
28,3.82,30.473,16.4,16.8,1,4628. UNIVERSITAS NEGERI SURABAYA FAKULTAS BAHASA DAN SENI ,tidak
26,3.7,27.418,19.6,18.0,0,4628. UNIVERSITAS NEGERI SURABAYA FAKULTAS BAHASA DAN SENI ,tidak
27,3.79,27.054,15.2,14.0,0,4628. UNIVERSITAS NEGERI SURABAYA FAKULTAS BAHASA DAN SENI ,tidak
29,3.73,27.709,19.2,17.2,1,4628. UNIVERSITAS NEGERI SURABAYA FAKULTAS BAHASA DAN SENI ,tidak
33,3.56,28.364,16.8,15.6,0,5664. UNIVERSITAS SULTAN AGENG TIRTAYASA FAKULTAS KEDOKTERAN ,tidak
27,3.83,28.727,17.6,18.4,0,5580. UNIVERSITAS SULAWESI BARAT FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
35,3.69,27.491,10.0,8.4,0,5580. UNIVERSITAS SULAWESI BARAT FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
29,3.93,28.727,8.4,7.6,0,5580. UNIVERSITAS SULAWESI BARAT FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
31,3.6,26.182,17.6,14.8,1,1676. INSTITUT SENI INDONESIA YOGYAKARTA FAKULTAS SENI PERTUNJUKAN ,tidak
34,3.54,26.546,13.2,8.0,0,1676. INSTITUT SENI INDONESIA YOGYAKARTA FAKULTAS SENI PERTUNJUKAN ,tidak
28,3.35,30.4,14.0,16.8,1,2244. POLITEKNIK NEGERI KUPANG JURUSAN ADMINISTRASI BISNIS ,tidak
27,3.52,28.364,15.2,18.4,1,2244. POLITEKNIK NEGERI KUPANG JURUSAN ADMINISTRASI BISNIS ,tidak
29,3.78,26.764,11.6,14.8,1,2244. POLITEKNIK NEGERI KUPANG JURUSAN ADMINISTRASI BISNIS ,tidak
29,3.7,26.909,11.2,11.6,1,2244. POLITEKNIK NEGERI KUPANG JURUSAN ADMINISTRASI BISNIS ,tidak
32,3.29,25.454,12.4,11.6,0,2244. POLITEKNIK NEGERI KUPANG JURUSAN ADMINISTRASI BISNIS ,tidak
26,3.81,26.036,10.8,13.6,0,2244. POLITEKNIK NEGERI KUPANG JURUSAN ADMINISTRASI BISNIS ,tidak
30,3.61,25.527,12.8,11.6,0,2244. POLITEKNIK NEGERI KUPANG JURUSAN ADMINISTRASI BISNIS ,tidak
25,3.77,29.6,12.4,18.8,0,2244. POLITEKNIK NEGERI KUPANG JURUSAN ADMINISTRASI BISNIS ,tidak
